Model,R2_count,R2_mean,R2_median,R2_std,R2_min,R2_max,R2_IQR,R2_mean±IQR,KGE_count,KGE_mean,KGE_median,KGE_std,KGE_min,KGE_max,KGE_IQR,KGE_mean±IQR
PBM,550,0.138,0.127,0.224,-1.879,0.761,0.234,0.138 ± 0.234,550,0.231,0.21,0.22,-0.469,0.846,0.282,0.231 ± 0.282
SnowNN,550,-0.049,0.333,1.396,-11.776,0.903,0.443,-0.049 ± 0.443,550,0.094,0.406,0.899,-5.466,0.941,0.609,0.094 ± 0.609
ETNN,550,-0.131,0.292,1.607,-18.638,0.905,0.444,-0.131 ± 0.444,550,0.095,0.404,0.884,-5.261,0.924,0.567,0.095 ± 0.567
RunoffNN,550,-0.079,0.339,2.181,-33.044,0.901,0.396,-0.079 ± 0.396,550,0.113,0.392,0.864,-5.201,0.932,0.563,0.113 ± 0.563
DrainageNN,550,-0.109,0.315,1.607,-15.984,0.864,0.432,-0.109 ± 0.432,550,0.08,0.393,1.001,-11.131,0.901,0.533,0.080 ± 0.533
HydroMoE,550,0.594,0.663,0.367,-3.335,0.989,0.386,0.594 ± 0.386,550,0.494,0.638,0.481,-1.923,0.986,0.396,0.494 ± 0.396
