station_id,historical_station_idx_lookup__NSE,historical_station_idx_lookup__KGE,historical_station_idx_lookup__snow_pbm_gate_mean,historical_station_idx_lookup__runoff_pbm_gate_mean,historical_station_idx_lookup__et_pbm_gate_mean,historical_station_idx_lookup__drainage_pbm_gate_mean,forced_raw_zero__NSE,forced_raw_zero__KGE,forced_raw_zero__snow_pbm_gate_mean,forced_raw_zero__runoff_pbm_gate_mean,forced_raw_zero__et_pbm_gate_mean,forced_raw_zero__drainage_pbm_gate_mean,recovered_precomputed__NSE,recovered_precomputed__KGE,recovered_precomputed__snow_pbm_gate_mean,recovered_precomputed__runoff_pbm_gate_mean,recovered_precomputed__et_pbm_gate_mean,recovered_precomputed__drainage_pbm_gate_mean,corr_historical_zero,corr_recovered_zero,corr_recovered_historical,median_abs_daily_historical_zero,median_abs_daily_recovered_zero,median_abs_daily_recovered_historical,max_abs_daily_historical_zero,max_abs_daily_recovered_zero
camels_01013500,0.9798475711472147,0.9366579424062302,0.049928101854924016,0.020418841843672746,0.0010163732039275566,0.0057598036636445395,0.9798475711472147,0.9366579424062302,0.049928101854924016,0.020418841843672746,0.0010163732039275566,0.0057598036636445395,0.9798525551139505,0.9366802777505211,0.049928101854924016,0.020418841843672746,0.0010163732039275566,0.0057598036636445395,0.9999999999999998,0.9999999993673355,0.9999999993673355,0.0,1.8402155384400487e-05,1.8402155384400487e-05,0.0,0.0016302196815569658
camels_01022500,0.8788342030613595,0.9248340939825949,0.032982030795021905,0.01846540694788068,0.0012881199196434407,0.008566507026099773,0.8788342030613595,0.9248340939825949,0.032982030795021905,0.01846540694788068,0.0012881199196434407,0.008566507026099773,0.8788365431127526,0.924849780966443,0.032982030795021905,0.01846540694788068,0.0012881199196434407,0.008566507026099773,1.0,0.9999999979827009,0.9999999979827009,0.0,2.0578006558302775e-05,2.0578006558302775e-05,0.0,0.005394330045337625
camels_01030500,0.9504469843993683,0.92595275459824,0.042068699649091185,0.028679178017389943,0.0012650234945889177,0.017496237068098892,0.9504469843993683,0.92595275459824,0.042068699649091185,0.028679178017389943,0.0012650234945889177,0.017496237068098892,0.9504557620425694,0.9259896883244442,0.042068699649091185,0.028679178017389943,0.0012650234945889177,0.017496237068098892,1.0,0.9999999990706142,0.9999999990706142,0.0,3.747831272571389e-05,3.747831272571389e-05,0.0,0.002456747466961451
camels_01031500,0.8516614454636748,0.893330759546583,0.047835571722374966,0.029418496524586397,0.0014328547471918877,0.01594990407235724,0.8516614454636748,0.893330759546583,0.047835571722374966,0.029418496524586397,0.0014328547471918877,0.01594990407235724,0.8516576747802569,0.8933368355012602,0.047835571722374966,0.029418496524586397,0.0014328547471918877,0.01594990407235724,0.9999999999999999,0.9999999979492723,0.9999999979492723,0.0,2.3321131122244765e-05,2.3321131122244765e-05,0.0,0.004874208341806963
camels_01047000,0.7820562859950818,0.8753156484096731,0.047490110261928724,0.019454309954846365,0.00129530940046175,0.006903231700100231,0.7820562859950818,0.8753156484096731,0.047490110261928724,0.019454309954846365,0.00129530940046175,0.006903231700100231,0.7820472386176106,0.8753181979485438,0.047490110261928724,0.019454309954846365,0.00129530940046175,0.006903231700100231,0.9999999999999999,0.9999999981609183,0.9999999981609183,0.0,2.6265461828600678e-05,2.6265461828600678e-05,0.0,0.005378178559336533
camels_01052500,0.7931436537142411,0.8642657043096778,0.05529670637954805,0.019341697460739413,0.0013328932119915015,0.007711641977089656,0.7931436537142411,0.8642657043096778,0.05529670637954805,0.019341697460739413,0.0013328932119915015,0.007711641977089656,0.7931355044439745,0.8642616950792782,0.05529670637954805,0.019341697460739413,0.0013328932119915015,0.007711641977089656,1.0,0.9999999985780526,0.9999999985780526,0.0,2.087460532251839e-05,2.087460532251839e-05,0.0,0.0024460043356664407
camels_01054200,0.5630475506681265,0.6264052147482213,0.0480948581656868,0.014265757787058369,0.001243793940205603,0.004050933952022034,0.5630475506681265,0.6264052147482213,0.0480948581656868,0.014265757787058369,0.001243793940205603,0.004050933952022034,0.5630333622382018,0.626393757759614,0.0480948581656868,0.014265757787058369,0.001243793940205603,0.004050933952022034,1.0,0.9999999985335079,0.9999999985335079,0.0,2.3031896410952157e-05,2.3031896410952157e-05,0.0,0.003948215206444061
camels_01055000,0.6134054510374131,0.7448911384385996,0.05199671391299482,0.022172420261839583,0.0013994450985055425,0.009688772487833824,0.6134054510374131,0.7448911384385996,0.05199671391299482,0.022172420261839583,0.0013994450985055425,0.009688772487833824,0.6133873131475731,0.7448786497757898,0.05199671391299482,0.022172420261839583,0.0013994450985055425,0.009688772487833824,1.0,0.9999999985860442,0.9999999985860442,0.0,1.9921579570203463e-05,1.9921579570203463e-05,0.0,0.0037437501936326
camels_01057000,0.7445805328075257,0.8562101591564082,0.042080024579959276,0.024216893720336665,0.001410847116435517,0.012557609279547454,0.7445805328075257,0.8562101591564082,0.042080024579959276,0.024216893720336665,0.001410847116435517,0.012557609279547454,0.7445708255933357,0.8562123699824454,0.042080024579959276,0.024216893720336665,0.001410847116435517,0.012557609279547454,0.9999999999999999,0.9999999981070804,0.9999999981070804,0.0,1.9365968745521656e-05,1.9365968745521656e-05,0.0,0.0032683736523591023
camels_01073000,0.8211812514594824,0.839754856672128,0.03503681051320043,0.045448103589411926,0.0018301535571564526,0.033156625155744884,0.8211812514594824,0.839754856672128,0.03503681051320043,0.045448103589411926,0.0018301535571564526,0.033156625155744884,0.8211725345839734,0.8397529275105453,0.03503681051320043,0.045448103589411926,0.0018301535571564526,0.033156625155744884,1.0,0.9999999981480944,0.9999999981480944,0.0,1.9102560222528098e-05,1.9102560222528098e-05,0.0,0.003184926306014191
